,Arsenal,Aston Villa,Blackburn Rovers,Bolton Wanderers,Charlton Athletic,Chelsea,Everton,Fulham,Liverpool,Manchester City,Manchester United,Middlesbrough,Newcastle United,Portsmouth,Reading,Sheffield United,Tottenham Hotspur,Watford,West Ham United,Wigan Athletic
punches,27,26,25,21,13,22,15,22,27,17,25,37,26,30,21,21,24,15,25,29
total_high_claim,88,57,56,44,50,74,83,45,51,64,37,78,48,79,63,43,51,63,64,61
penalty_save,,,5,2,2,1,1,1,,1,2,,,2,,1,,,,2
saves,6,1,22,13,5,4,5,12,1,,2,18,5,14,4,3,11,17,4,13
clean_sheet,12,13,8,12,11,22,14,7,20,14,16,9,7,12,13,9,6,9,9,10
dispossessed,,,,,,,,,,,,,,,,,,,,
clearance_off_line,1,5,8,6,7,2,2,6,1,4,1,5,9,4,2,8,2,3,5,4
total_clearance,"1,202","1,212","1,095","1,037","1,483","1,206","1,386","1,386","1,115","1,213","1,222","1,243","1,004","1,164","1,022","1,217","1,412","1,179","1,232","1,206"
total_tackle,998,936,864,811,919,982,860,901,969,986,890,841,965,948,855,917,995,744,860,809
big_chance_missed,,,,,,,,,,,,,,,,,,,,
hit_woodwork,19,9,5,7,11,14,9,8,15,5,21,7,11,9,8,14,6,10,8,9
total_offside,111,147,142,95,96,127,81,94,120,142,80,89,102,141,87,82,149,122,92,84
total_scoring_att,638,470,478,404,418,636,465,451,668,454,698,454,454,525,419,483,520,418,461,474
total_pass,"18,458","13,254","14,033","12,400","12,722","16,759","12,274","11,820","17,154","12,765","18,723","12,779","14,628","12,616","11,232","11,123","14,914","10,175","13,178","11,353"
goals,63,43,52,47,34,64,52,38,57,29,83,44,38,45,52,32,57,29,35,37
total_red_card,3,1,6,4,4,4,2,3,,4,1,2,1,1,3,2,3,2,2,3
total_yel_card,59,48,77,84,56,62,65,56,44,59,60,64,65,48,38,68,48,45,85,73
own_goals,1,1,2,3,2,1,3,2,,2,1,1,2,,3,2,2,5,2,5
touches,"25,592","20,002","20,812","18,932","19,497","24,010","19,250","18,720","24,150","19,378","25,686","19,199","21,213","19,377","18,017","17,713","22,200","16,772","20,040","17,564"
losses,8,10,16,14,20,3,10,15,10,18,5,16,17,12,15,20,12,20,21,20
wins,19,11,15,16,8,24,15,8,20,11,28,12,11,14,16,10,17,5,12,10
