,Chelsea,Liverpool,Manchester United,Arsenal,Wigan Athletic,Manchester City,West Bromwich Albion,Tottenham Hotspur,West Ham United,Fulham,Portsmouth,Middlesbrough,Everton,Bolton Wanderers,Hull City,Blackburn Rovers,Sunderland,Aston Villa,Newcastle United,Stoke City
total_scoring_att,797,736,715,662,590,572,559,544,515,511,500,498,496,488,476,473,473,472,444,364
wins,25,25,28,20,12,15,8,14,14,14,10,7,17,11,8,10,9,17,7,12
losses,5,2,4,6,17,18,22,15,15,13,17,20,9,19,19,17,20,10,18,17
touches,"29,962","29,875","30,077","29,877","23,012","26,120","24,904","26,576","25,662","26,263","25,414","23,322","25,205","20,876","21,712","23,450","24,442","23,020","24,327","18,693"
own_goals,1,3,1,3,1,2,,2,2,,,6,2,2,4,2,2,,2,2
total_yel_card,50,50,61,58,59,49,67,54,66,40,58,55,49,62,71,74,69,54,57,73
total_red_card,3,,5,3,4,4,1,5,4,1,5,3,1,1,3,4,1,2,8,5
goals,68,77,68,68,34,58,36,45,42,39,38,28,55,41,39,40,34,54,40,38
total_pass,"19,923","19,505","19,416","18,991","12,331","15,971","14,518","15,723","15,316","16,108","14,497","13,124","15,024","10,649","11,809","13,436","14,144","12,419","14,172","9,478"
total_offside,114,98,99,88,101,79,101,85,130,92,81,121,99,71,141,119,96,85,73,65
hit_woodwork,17,26,9,22,10,11,16,7,12,11,19,7,12,7,9,13,10,15,12,11
big_chance_missed,,,,,,,,,,,,,,,,,,,,
total_tackle,773,927,741,875,934,939,803,781,896,812,922,784,775,890,811,824,888,982,735,688
total_clearance,"1,069","1,279","1,322","1,280","1,636","1,496","1,477","1,511","1,601","1,632","1,552","1,582","1,602","1,880","1,677","1,649","1,596","1,764","1,278","1,555"
clearance_off_line,3,,3,9,10,7,5,6,7,8,9,5,4,5,4,9,4,4,5,7
dispossessed,518,470,579,692,445,578,581,538,601,467,601,540,584,448,490,372,491,536,659,438
clean_sheet,22,20,24,16,13,10,8,13,10,15,8,7,17,7,6,10,9,13,7,12
saves,,,,,2,,,,,2,,,,,,,,,,
penalty_save,1,,,2,1,1,,,2,1,1,,,1,1,,1,,1,
total_high_claim,111,61,56,65,38,54,60,69,65,70,79,85,74,42,56,48,58,32,40,85
punches,35,19,22,26,20,34,24,56,37,44,26,18,25,28,22,36,27,26,24,41
