,Chelsea,Tottenham Hotspur,Arsenal,Manchester United,West Bromwich Albion,Liverpool,Everton,West Ham United,Bolton Wanderers,Fulham,Manchester City,Sunderland,Blackpool,Wigan Athletic,Newcastle United,Aston Villa,Stoke City,Wolverhampton Wanderers,Blackburn Rovers,Birmingham City
total_scoring_att,745,657,654,618,597,582,580,572,570,547,546,532,531,511,507,506,482,459,453,401
wins,21,16,19,23,12,17,13,7,12,11,21,12,10,9,11,12,13,11,11,8
losses,9,8,8,4,15,14,10,19,16,11,9,15,19,14,14,14,18,20,17,15
touches,"27,426","25,438","28,629","26,671","22,224","24,959","22,628","21,823","21,351","24,796","25,892","22,628","23,616","23,517","22,113","22,681","18,195","22,772","19,421","21,652"
own_goals,1,1,1,1,5,3,2,2,,5,,1,5,,2,1,2,2,1,4
total_yel_card,59,51,65,56,52,63,55,59,67,52,71,57,47,67,78,71,68,62,65,57
total_red_card,1,2,6,3,7,2,5,1,5,1,5,5,2,4,2,2,2,2,5,3
goals,69,55,72,78,56,59,51,43,52,49,60,45,55,40,56,48,46,46,46,37
total_pass,"19,236","16,791","20,150","18,870","14,252","16,734","14,371","13,367","12,704","16,345","17,768","14,166","15,113","15,180","14,204","14,611","10,349","14,823","11,178","14,036"
total_offside,113,59,93,102,102,87,78,120,57,100,103,98,97,71,82,92,74,93,87,91
hit_woodwork,21,15,23,15,12,12,8,18,9,10,16,10,11,9,10,19,20,14,10,11
big_chance_missed,70,51,88,50,43,43,47,44,42,38,51,35,46,39,62,57,39,29,44,30
total_tackle,769,754,772,693,725,908,768,783,939,799,826,820,780,914,666,844,716,677,748,668
total_clearance,762,"1,363","1,077","1,053","1,088","1,073","1,265","1,353","1,466","1,513","1,206","1,291","1,616","1,196","1,025","1,116","1,316","1,205","1,521","1,261"
clearance_off_line,7,6,4,2,8,6,2,9,10,12,2,16,16,5,7,7,5,7,8,9
dispossessed,573,560,601,471,524,493,525,574,418,559,520,441,499,540,527,350,449,426,357,375
clean_sheet,15,8,13,15,2,14,9,5,5,14,18,13,6,7,9,7,9,5,8,9
saves,,,,,,,,,,,2,,3,,3,,,,,
penalty_save,1,2,2,,,,,1,2,1,1,,,1,,,2,,,1
total_high_claim,84,68,56,45,38,74,51,39,46,82,66,62,49,50,56,30,64,84,50,71
punches,22,50,25,16,23,26,30,41,22,37,27,40,29,25,26,25,20,19,26,21
