,Manchester City,Arsenal,Liverpool,Chelsea,Queens Park Rangers,Tottenham Hotspur,Manchester United,Southampton,Stoke City,West Ham United,Everton,Newcastle United,Leicester City,Crystal Palace,Burnley,Hull City,Swansea City,Aston Villa,West Bromwich Albion,Sunderland
total_scoring_att,670,610,590,564,534,527,512,509,500,488,483,468,456,441,430,428,426,418,412,408
wins,24,22,18,26,8,19,20,18,15,12,12,10,11,13,7,8,16,10,11,7
losses,7,7,12,3,24,12,8,14,14,15,15,19,19,16,19,19,14,20,16,14
touches,"29,652","29,045","27,351","27,861","21,907","27,495","29,044","25,815","23,427","21,793","26,729","23,375","21,547","20,386","21,624","22,464","25,645","23,785","21,820","22,036"
own_goals,3,1,2,1,4,2,1,,,2,2,1,5,,2,,1,1,,5
total_yel_card,77,68,66,73,75,79,64,57,82,64,66,65,49,63,64,73,48,70,64,94
total_red_card,2,2,3,4,3,4,5,3,1,2,2,7,4,4,2,6,5,7,3,2
goals,83,71,52,73,42,58,62,54,48,44,48,40,46,47,28,33,46,31,38,31
total_pass,"22,107","20,527","19,374","20,268","13,659","19,322","21,311","18,184","15,386","13,568","18,809","15,019","13,343","12,071","13,632","14,864","17,877","16,527","14,445","14,451"
total_offside,78,64,75,75,81,77,87,93,75,91,83,38,60,77,64,72,80,70,65,69
hit_woodwork,18,13,12,15,16,11,11,17,9,13,11,6,12,14,13,11,12,5,10,11
big_chance_missed,42,51,34,40,39,39,43,44,32,37,32,34,44,25,27,22,35,26,25,23
total_tackle,751,739,798,759,781,815,739,813,729,647,657,824,791,791,615,763,634,623,696,759
total_clearance,872,"1,006","1,175","1,027","1,445","1,047","1,118",875,"1,159","1,474","1,280","1,020","1,177","1,270","1,458","1,316","1,203","1,130","1,084",994
clearance_off_line,1,2,3,2,6,1,5,4,3,3,3,3,2,7,8,7,3,2,4,3
dispossessed,546,476,468,476,468,552,393,422,428,404,461,466,355,325,345,443,363,413,507,411
clean_sheet,14,13,14,17,6,9,11,15,9,9,10,8,10,7,10,10,13,10,16,13
saves,93,96,93,90,142,119,100,80,96,133,80,98,124,94,128,102,141,112,131,144
penalty_save,1,,2,,2,1,1,,,3,,,,2,2,2,,,1,
total_high_claim,52,76,38,73,57,51,33,50,68,52,71,53,38,77,53,36,91,77,76,82
punches,31,13,41,13,20,28,7,15,12,15,24,21,26,9,15,23,31,18,13,17
