team,total_shots,total_on_target,shot_acc
Arsenal,660,233,35.3030303030303
Aston Villa,497,158,31.7907444668008
Birmingham,452,155,34.2920353982301
Blackburn,489,161,32.9243353783231
Bolton,558,163,29.2114695340502
Burnley,459,153,33.3333333333333
Chelsea,834,288,34.5323741007194
Everton,589,194,32.937181663837
Fulham,463,144,31.1015118790497
Hull,388,120,30.9278350515464
Liverpool,642,189,29.4392523364486
Man City,526,195,37.0722433460076
Man United,695,221,31.7985611510791
Portsmouth,533,151,28.3302063789869
Stoke,402,113,28.1094527363184
Sunderland,444,159,35.8108108108108
Tottenham,681,226,33.1864904552129
West Ham,549,191,34.7905282331512
Wigan,555,174,31.3513513513513
Wolves,436,119,27.2935779816514
