team,total_shots,total_on_target,shot_acc
Arsenal,662,220,33.2326283987915
Aston Villa,472,159,33.6864406779661
Blackburn,473,148,31.2896405919662
Bolton,488,154,31.5573770491803
Chelsea,797,248,31.1166875784191
Everton,496,169,34.0725806451613
Fulham,511,149,29.1585127201566
Hull,476,149,31.3025210084034
Liverpool,736,224,30.4347826086957
Man City,572,201,35.1398601398601
Man United,715,230,32.1678321678322
Middlesbrough,498,140,28.1124497991968
Newcastle,444,125,28.1531531531532
Portsmouth,500,152,30.4
Stoke,364,100,27.4725274725275
Sunderland,473,144,30.4439746300211
Tottenham,544,177,32.5367647058824
West Brom,559,165,29.5169946332737
West Ham,515,167,32.4271844660194
Wigan,590,163,27.6271186440678
