,Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeResult,AwayResult,scoredhome,scoredaway,concededhome,concededaway,winshome,winsaway
0,13/08/11,Blackburn,Wolves,1,2,0.0,1.0,1,2,2,1,0.0,1.0
1,13/08/11,Fulham,Aston Villa,0,0,0.5,0.5,0,0,0,0,0.5,0.5
2,13/08/11,Liverpool,Sunderland,1,1,0.5,0.5,1,1,1,1,0.5,0.5
3,13/08/11,Newcastle,Arsenal,0,0,0.5,0.5,0,0,0,0,0.5,0.5
4,13/08/11,QPR,Bolton,0,4,0.0,1.0,0,4,4,0,0.0,1.0
5,13/08/11,Wigan,Norwich,1,1,0.5,0.5,1,1,1,1,0.5,0.5
6,14/08/11,Stoke,Chelsea,0,0,0.5,0.5,0,0,0,0,0.5,0.5
7,14/08/11,West Brom,Man United,1,2,0.0,1.0,1,2,2,1,0.0,1.0
8,15/08/11,Man City,Swansea,4,0,1.0,0.0,4,0,0,4,1.0,0.0
9,20/08/11,Arsenal,Liverpool,0,2,0.0,1.0,0,2,2,0,0.0,1.0
10,20/08/11,Aston Villa,Blackburn,3,1,1.0,0.0,3,1,1,3,1.0,0.0
11,20/08/11,Chelsea,West Brom,2,1,1.0,0.0,2,1,1,2,1.0,0.0
12,20/08/11,Everton,QPR,0,1,0.0,1.0,0,1,1,0,0.0,1.0
13,20/08/11,Sunderland,Newcastle,0,1,0.0,1.0,0,1,1,0,0.0,1.0
14,20/08/11,Swansea,Wigan,0,0,0.5,0.5,0,0,0,0,0.5,0.5
15,21/08/11,Bolton,Man City,2,3,0.0,1.0,2,3,3,2,0.0,1.0
16,21/08/11,Norwich,Stoke,1,1,0.5,0.5,1,1,1,1,0.5,0.5
17,21/08/11,Wolves,Fulham,2,0,1.0,0.0,2,0,0,2,1.0,0.0
18,22/08/11,Man United,Tottenham,3,0,1.0,0.0,3,0,0,3,1.0,0.0
19,27/08/11,Aston Villa,Wolves,0,0,0.5,0.5,3,2,1,1,1.5,1.5
20,27/08/11,Blackburn,Everton,0,1,0.0,1.0,1,1,3,0,0.0,1.0
21,27/08/11,Chelsea,Norwich,3,1,1.0,0.0,5,2,2,4,2.0,0.5
22,27/08/11,Liverpool,Bolton,3,1,1.0,0.0,4,5,2,3,1.5,1.0
23,27/08/11,Swansea,Sunderland,0,0,0.5,0.5,0,1,0,1,1.0,1.0
24,27/08/11,Wigan,QPR,2,0,1.0,0.0,3,1,1,2,1.5,1.0
25,28/08/11,Man United,Arsenal,8,2,1.0,0.0,11,2,2,8,2.0,0.5
26,28/08/11,Newcastle,Fulham,2,1,1.0,0.0,2,1,1,4,1.5,0.0
27,28/08/11,Tottenham,Man City,1,5,0.0,1.0,1,8,5,3,0.0,2.0
28,28/08/11,West Brom,Stoke,0,1,0.0,1.0,1,2,3,1,0.0,1.5
29,10/09/11,Arsenal,Swansea,1,0,1.0,0.0,1,0,2,5,1.0,0.0
30,10/09/11,Bolton,Man United,0,5,0.0,1.0,2,7,8,1,0.0,2.0
31,10/09/11,Everton,Aston Villa,2,2,0.5,0.5,2,2,3,2,0.5,1.0
32,10/09/11,Man City,Wigan,3,0,1.0,0.0,7,0,0,3,2.0,0.5
33,10/09/11,Stoke,Liverpool,1,0,1.0,0.0,1,2,0,1,1.5,1.0
34,10/09/11,Sunderland,Chelsea,1,2,0.0,1.0,1,2,3,1,0.0,1.5
