,Manchester City,Middlesbrough,Portsmouth,Reading,Blackburn Rovers,Fulham,Arsenal,Sunderland,Derby County,Manchester United,Liverpool,Tottenham Hotspur,Bolton Wanderers,Everton,Newcastle United,Chelsea,West Ham United,Aston Villa,Wigan Athletic,Birmingham City
punches,43,38,28,28,27,27,26,25,24,23,22,21,20,20,20,19,19,14,14,11
total_high_claim,45,68,77,61,59,55,45,40,68,47,42,46,47,55,35,62,77,40,68,77
penalty_save,2,,2,2,2,,1,,,,1,,,,,,3,2,1,
saves,4,4,4,10,3,2,,,10,2,,,,,,4,1,3,5,
clean_sheet,11,8,16,8,8,7,15,7,3,21,18,9,12,14,8,21,8,9,12,3
dispossessed,559,575,683,532,532,589,776,586,464,627,613,612,545,620,717,687,511,655,510,551
clearance_off_line,7,2,4,6,5,4,2,5,5,10,4,6,6,8,8,8,8,6,7,6
total_clearance,"1,852","2,139","2,103","1,783","2,065","2,072","1,840","2,051","2,042","2,022","1,952","2,043","2,166","2,136","1,823","1,687","1,952","2,220","1,837","2,145"
total_tackle,916,835,963,800,833,851,878,892,898,978,"1,089",960,866,816,876,917,848,885,883,935
big_chance_missed,,,,,,,,,,,,,,,,,,,,
hit_woodwork,5,13,9,10,14,7,13,7,7,16,13,19,14,4,10,12,15,11,11,6
total_offside,103,126,95,60,95,91,110,75,103,100,93,123,111,73,102,128,117,115,137,78
total_scoring_att,423,499,559,441,530,469,627,483,376,696,686,555,451,474,481,605,500,511,489,414
total_pass,"15,149","12,217","12,794","10,442","13,654","12,583","18,831","12,736","11,753","17,422","16,360","15,466","11,854","12,397","13,947","17,252","13,773","11,438","11,684","10,630"
goals,45,43,48,41,50,38,74,36,20,80,67,66,36,55,45,65,42,71,34,46
total_red_card,4,2,3,5,6,6,3,4,1,2,1,1,,3,1,5,1,4,4,3
total_yel_card,50,86,55,59,72,55,55,65,63,51,45,51,76,40,63,63,63,54,59,70
own_goals,2,5,3,2,1,2,2,3,2,,2,1,4,1,1,,1,3,1,1
touches,"23,416","21,067","21,907","19,144","22,601","21,260","28,156","21,421","20,143","26,620","25,857","24,679","20,846","21,360","22,761","26,290","22,347","20,734","19,855","19,541"
losses,13,16,13,22,10,18,3,21,29,5,4,14,19,11,17,3,15,10,18,19
wins,15,10,16,10,15,8,24,11,1,27,21,11,9,19,11,25,13,16,10,8
