,Chelsea,Manchester United,Tottenham Hotspur,Arsenal,Liverpool,Everton,Bolton Wanderers,Wigan Athletic,West Ham United,Portsmouth,Manchester City,Aston Villa,Blackburn Rovers,Fulham,Burnley,Birmingham City,Sunderland,Wolverhampton Wanderers,Stoke City,Hull City
total_scoring_att,834,695,681,660,642,589,558,555,549,533,526,497,489,463,459,452,444,436,402,388
wins,27,27,21,23,18,16,10,9,8,7,18,17,13,12,8,13,11,9,11,6
losses,6,7,10,9,11,9,19,20,19,24,7,8,14,16,24,14,16,18,13,20
touches,"28,914","28,968","25,855","29,807","28,665","24,914","21,587","25,000","24,973","23,388","26,446","23,210","21,245","26,134","23,571","23,678","22,903","22,604","19,825","21,495"
own_goals,1,,,2,2,3,4,1,3,3,1,3,1,5,2,1,2,3,1,5
total_yel_card,54,49,58,56,55,57,74,65,62,68,49,59,57,46,57,74,77,63,63,64
total_red_card,5,4,1,1,5,2,5,3,3,5,2,2,2,1,2,1,9,4,5,6
goals,103,86,67,83,61,60,42,37,47,34,73,52,41,39,42,38,48,32,34,34
total_pass,"18,852","19,318","15,474","19,291","18,580","14,832","11,404","14,753","14,616","13,521","16,323","13,127","11,792","16,505","13,591","13,540","12,489","13,028","10,307","11,745"
total_offside,96,85,117,93,62,94,58,50,92,93,120,81,124,92,66,98,93,65,86,86
hit_woodwork,13,12,13,15,20,12,10,13,12,7,9,5,18,7,14,7,11,8,5,6
big_chance_missed,,,,,,,,,,,,,,,,,,,,
total_tackle,772,828,844,818,958,768,912,908,830,774,802,880,709,745,686,785,890,705,724,760
total_clearance,"1,055",983,"1,360","1,091","1,094","1,601","1,638","1,353","1,623","1,356","1,269","1,531","1,557","1,459","1,552","1,499","1,641","1,618","1,632","1,528"
clearance_off_line,3,2,6,3,1,4,9,11,8,4,4,10,6,5,7,5,7,6,3,4
dispossessed,503,622,516,713,489,600,445,613,522,497,509,520,445,467,524,445,534,410,383,535
clean_sheet,18,19,13,14,17,11,5,8,8,7,11,15,13,12,3,11,7,8,14,7
saves,,,4,3,1,,,,4,8,,,,5,,,,3,4,2
penalty_save,1,,3,2,1,2,2,,1,1,2,,,,3,,,1,3,1
total_high_claim,87,65,93,75,52,52,50,46,72,83,45,39,61,99,55,78,54,118,117,59
punches,30,18,48,24,28,17,19,20,35,27,21,39,32,29,27,35,30,29,17,46
