,Manchester City,Tottenham Hotspur,Chelsea,Liverpool,Manchester United,Arsenal,West Bromwich Albion,Fulham,Queens Park Rangers,Everton,Wigan Athletic,Norwich City,Bolton Wanderers,Newcastle United,Wolverhampton Wanderers,Swansea City,Sunderland,Blackburn Rovers,Aston Villa,Stoke City
total_scoring_att,738,701,671,667,646,637,544,541,539,520,519,514,495,489,473,472,458,453,438,376
wins,28,20,18,14,28,21,13,14,10,15,11,12,10,19,5,12,11,8,7,11
losses,5,9,10,14,5,10,17,14,21,12,17,15,22,11,23,15,15,23,14,15
touches,"28,620","27,761","26,276","26,450","28,113","28,338","22,205","24,891","21,309","22,706","22,957","22,830","21,694","22,210","22,585","28,300","21,770","20,036","21,017","18,938"
own_goals,2,1,1,3,2,5,2,2,2,3,1,1,1,,2,2,2,4,2,3
total_yel_card,51,43,74,53,51,64,48,54,54,60,67,58,50,67,64,40,60,66,70,60
total_red_card,5,3,4,5,1,4,1,,9,2,3,3,5,2,4,2,4,5,2,2
goals,93,66,65,47,89,74,45,48,43,50,42,52,46,56,40,44,45,48,37,36
total_pass,"20,863","19,564","18,766","18,797","20,184","20,599","14,691","17,669","13,383","15,063","15,731","15,165","13,580","14,638","14,860","20,795","13,913","12,424","13,158","10,836"
total_offside,85,93,70,128,89,88,128,85,83,116,71,74,55,97,82,67,76,58,85,62
hit_woodwork,21,12,20,33,17,15,13,24,15,12,13,7,8,19,10,14,11,10,9,7
big_chance_missed,65,62,37,66,64,74,34,38,23,43,41,30,25,27,29,36,39,37,39,33
total_tackle,694,733,698,728,803,751,683,669,764,624,729,692,732,744,619,709,824,690,774,655
total_clearance,930,"1,045",881,720,"1,165",766,960,"1,005","1,412","1,130",925,"1,451","1,255",987,"1,178","1,048","1,158","1,328","1,301","1,910"
clearance_off_line,6,6,10,2,3,3,7,4,8,2,3,9,8,12,6,3,8,6,8,4
dispossessed,480,539,571,440,521,587,419,469,429,487,414,379,442,592,425,518,423,370,300,460
clean_sheet,17,14,10,12,20,13,10,11,7,12,8,3,3,15,4,14,12,3,9,9
saves,1,,1,,,,4,,,2,,,,1,9,,,,,15
penalty_save,1,,,1,1,1,2,,,2,4,2,1,2,2,2,1,1,,
total_high_claim,39,28,70,22,37,52,60,69,26,57,42,56,58,59,81,69,65,53,41,68
punches,21,12,17,19,26,27,19,26,22,25,23,20,16,23,22,22,26,10,15,23
