,Liverpool,Tottenham Hotspur,Manchester City,Everton,Chelsea,Arsenal,Manchester United,Newcastle United,Southampton,West Bromwich Albion,Swansea City,Queens Park Rangers,Wigan Athletic,West Ham United,Fulham,Aston Villa,Sunderland,Norwich City,Reading,Stoke City
total_scoring_att,739,681,660,633,626,597,561,533,516,506,504,500,500,492,460,438,417,413,394,390
wins,16,21,23,16,22,21,28,11,9,14,11,4,9,12,11,10,9,10,6,9
losses,9,8,6,7,7,7,5,19,15,17,14,21,20,16,17,17,17,14,22,14
touches,"27,737","25,155","27,525","23,854","25,971","28,862","27,264","23,008","25,365","21,491","27,641","21,941","25,173","20,677","24,744","22,319","20,782","20,686","19,613","19,836"
own_goals,1,1,2,2,2,,4,1,5,3,1,5,3,1,,5,4,3,,4
total_yel_card,54,55,62,59,51,42,57,71,43,63,58,59,66,74,48,72,62,60,45,78
total_red_card,2,2,3,3,3,5,1,4,2,4,2,3,2,1,3,3,3,1,1,4
goals,71,66,66,55,75,72,86,45,49,53,47,30,47,45,50,47,41,41,43,34
total_pass,"19,812","16,647","20,061","15,829","18,432","21,110","19,696","14,600","16,810","14,367","19,943","13,632","17,927","12,593","16,940","14,252","13,109","13,430","11,806","12,297"
total_offside,110,77,75,100,80,80,96,84,86,100,87,108,83,82,74,97,68,97,80,72
hit_woodwork,19,17,16,21,7,16,24,12,16,15,11,9,7,9,19,10,7,7,9,12
big_chance_missed,61,41,86,67,45,50,65,44,41,39,42,32,36,38,34,33,30,40,25,35
total_tackle,795,745,683,720,710,748,731,732,819,698,686,818,716,728,680,741,784,676,602,728
total_clearance,914,"1,595","1,068","1,172",981,873,"1,319","1,584","1,275","1,079","1,353","1,363",901,"1,520","1,274","1,520","1,155","1,146","1,300","1,161"
clearance_off_line,3,6,6,8,1,5,5,5,3,3,10,8,5,4,7,9,8,5,12,3
dispossessed,529,466,515,449,434,411,506,506,477,455,361,453,418,493,446,505,423,387,442,397
clean_sheet,16,9,18,11,14,14,13,6,7,8,10,7,5,11,8,5,11,10,5,12
saves,2,,1,4,7,,1,3,,2,,,,11,,5,,4,,9
penalty_save,1,,1,,,1,,,3,1,1,,1,,3,1,,2,,
total_high_claim,38,44,28,61,53,31,38,74,56,77,51,56,41,36,67,101,52,46,47,91
punches,23,30,23,28,29,20,28,38,16,15,25,37,28,6,24,25,39,19,37,6
