,Chelsea,Manchester City,Liverpool,Tottenham Hotspur,Newcastle United,Everton,Southampton,Manchester United,Arsenal,Swansea City,Sunderland,West Bromwich Albion,Norwich City,Aston Villa,Fulham,Stoke City,Hull City,West Ham United,Cardiff City,Crystal Palace
total_scoring_att,692,673,651,588,579,561,534,526,523,496,491,487,467,431,431,428,427,422,418,414
wins,25,27,26,21,15,21,15,19,24,11,10,7,8,10,9,13,10,11,7,13
losses,6,6,6,11,19,8,12,12,7,18,20,16,21,20,24,14,21,20,22,19
touches,"26,541","28,341","28,172","26,241","24,484","26,857","28,030","27,367","29,825","29,158","21,922","22,866","22,570","21,453","22,771","23,324","22,985","20,511","22,018","20,309"
own_goals,2,2,6,3,1,4,1,1,2,1,6,2,3,4,5,1,2,1,,2
total_yel_card,57,72,54,66,53,55,60,66,53,55,69,67,62,78,58,72,53,62,49,58
total_red_card,3,1,1,4,6,1,,3,4,3,7,,2,,1,5,4,5,1,2
goals,71,102,101,55,43,61,54,64,68,54,41,43,28,39,40,45,38,40,32,33
total_pass,"18,266","20,761","19,599","17,933","16,087","18,301","19,577","18,894","21,561","21,113","14,457","14,704","14,762","13,856","14,674","15,324","15,267","12,364","14,007","11,797"
total_offside,106,59,78,64,78,80,97,97,74,76,70,91,48,84,86,81,86,76,81,71
hit_woodwork,19,19,27,12,14,14,16,16,15,7,10,6,15,11,11,14,16,11,10,9
big_chance_missed,44,59,64,64,45,28,37,38,50,20,29,35,37,27,45,36,31,33,30,31
total_tackle,733,756,848,750,736,744,805,676,714,674,702,701,675,747,702,791,723,651,619,845
total_clearance,"1,141",938,"1,339",974,"1,110","1,103","1,201","1,382","1,207","1,083",903,"1,176","1,071","1,068","1,351","1,090","1,048","1,401","1,268","1,409"
clearance_off_line,2,,5,3,4,2,1,1,3,6,3,,10,3,12,2,6,8,5,4
dispossessed,392,411,427,598,453,471,522,491,367,400,411,514,489,359,483,469,413,371,490,361
clean_sheet,18,16,10,14,10,15,15,13,17,8,11,7,12,9,5,9,10,14,7,12
saves,96,88,107,106,108,117,85,103,116,96,160,114,125,110,154,127,106,151,157,119
penalty_save,,,1,1,,2,,,1,,,2,,1,,2,1,,,
total_high_claim,42,64,36,41,51,59,50,32,70,45,71,65,72,102,71,84,24,54,59,81
punches,16,31,29,38,21,14,18,14,27,20,20,14,11,15,21,17,24,9,13,8
