,Tottenham Hotspur,Liverpool,Manchester City,Manchester United,Chelsea,Arsenal,Southampton,Everton,West Ham United,AFC Bournemouth,Crystal Palace,Leicester City,Stoke City,Watford,Swansea City,West Bromwich Albion,Hull City,Burnley,Sunderland,Middlesbrough
total_scoring_att,669,640,633,591,580,566,550,502,499,452,439,433,425,422,405,399,397,391,387,351
wins,26,22,23,18,30,23,12,17,12,12,12,12,11,11,12,12,9,11,6,5
losses,4,6,6,5,5,9,16,11,17,16,21,18,16,20,21,17,22,20,26,20
touches,"28,150","30,071","30,363","28,119","27,658","28,931","25,881","25,309","22,666","24,801","21,533","21,051","22,087","21,547","23,728","19,042","22,779","19,776","19,639","23,067"
own_goals,1,,1,1,1,1,1,1,,5,,2,5,2,5,1,5,2,2,
total_yel_card,62,54,71,78,72,68,59,72,78,52,77,72,70,84,56,80,67,65,78,77
total_red_card,,,4,2,,3,2,2,5,3,,1,2,5,,,5,2,4,1
goals,86,78,80,54,85,77,41,62,47,55,50,48,41,40,45,43,37,39,29,27
total_pass,"20,150","22,290","22,706","20,245","20,125","21,394","18,245","17,586","15,127","17,152","13,542","13,671","14,558","14,049","16,131","11,825","15,596","12,558","12,359","15,736"
total_offside,74,77,89,99,64,95,73,82,74,53,55,65,85,61,49,59,71,101,78,51
hit_woodwork,22,18,20,19,17,17,12,12,14,19,8,8,14,7,10,11,10,5,4,6
big_chance_missed,41,35,48,50,32,41,34,28,24,31,27,29,41,25,25,24,18,18,19,19
total_tackle,661,719,643,690,652,673,675,712,574,604,699,677,666,618,635,605,631,638,630,727
total_clearance,"1,003",877,905,"1,112",839,838,914,"1,118","1,074","1,092","1,022","1,025","1,009","1,016","1,037",999,"1,101","1,233","1,170","1,090"
clearance_off_line,1,,4,1,3,1,4,9,3,4,7,2,5,3,2,3,6,6,5,4
dispossessed,484,472,465,389,436,465,455,469,367,439,496,310,415,390,446,445,399,334,388,357
clean_sheet,17,12,12,17,16,13,14,13,10,10,7,9,11,7,8,6,5,10,6,11
saves,85,73,64,85,69,124,76,96,117,123,108,131,127,121,121,116,137,151,176,117
penalty_save,,2,2,1,,,1,2,1,2,,,1,1,1,,2,1,,
total_high_claim,21,36,26,32,38,36,26,56,47,36,56,45,40,53,72,53,40,29,57,39
punches,11,26,20,4,18,10,12,19,11,21,12,16,23,35,16,10,18,14,24,17
