,Manchester City,Liverpool,Tottenham Hotspur,Chelsea,Arsenal,Manchester United,Crystal Palace,AFC Bournemouth,Newcastle United,Southampton,Watford,Leicester City,Brighton and Hove Albion,Stoke City,Burnley,West Bromwich Albion,West Ham United,Huddersfield Town,Everton,Swansea City
total_scoring_att,665,638,623,606,594,512,476,465,451,450,440,423,384,384,378,378,372,362,359,338
wins,32,21,23,21,19,25,11,11,12,7,11,12,9,7,14,6,10,9,13,8
losses,2,5,7,10,13,7,16,16,18,16,19,15,16,19,12,19,16,19,15,21
touches,"35,130","30,324","29,412","28,728","30,635","27,525","22,434","23,634","21,506","24,639","23,127","22,770","21,668","20,368","20,732","20,552","21,928","22,619","22,298","22,775"
own_goals,2,,1,2,,2,2,1,3,1,1,2,5,2,1,2,1,1,1,2
total_yel_card,59,44,50,42,57,64,72,55,52,63,63,52,54,62,65,73,73,62,51,51
total_red_card,2,1,2,4,2,1,,1,2,2,4,5,2,1,,1,2,3,3,1
goals,106,84,74,62,74,68,45,45,39,37,44,56,34,35,36,31,48,28,44,28
total_pass,"28,241","22,962","21,660","21,264","23,524","20,064","14,372","16,131","14,028","17,174","15,654","15,200","14,675","12,892","13,572","13,218","14,369","14,960","14,749","15,721"
total_offside,67,70,88,108,89,88,56,52,63,73,74,92,98,87,100,79,97,67,82,38
hit_woodwork,23,16,13,11,17,16,8,10,12,15,8,8,8,8,9,7,14,8,7,8
big_chance_missed,63,61,50,48,57,42,55,24,33,37,36,35,30,33,22,28,29,21,36,26
total_tackle,563,637,618,636,623,564,685,508,644,658,668,630,599,678,533,604,621,744,644,610
total_clearance,588,736,825,768,829,853,"1,022","1,037","1,125",953,953,920,"1,085","1,164","1,184",993,"1,007","1,070","1,229",943
clearance_off_line,4,2,1,3,5,4,6,6,7,4,5,4,10,3,5,3,4,6,6,1
dispossessed,406,447,460,415,412,399,482,419,410,379,410,358,296,402,344,446,390,416,381,439
clean_sheet,18,17,16,16,13,19,9,6,9,8,9,9,10,6,12,10,10,10,10,9
saves,62,67,93,83,100,118,122,111,105,110,95,107,124,152,122,102,122,103,121,137
penalty_save,2,2,,,1,,,1,2,1,,2,2,,1,,1,2,1,3
total_high_claim,21,25,20,27,39,20,39,37,40,29,25,29,38,27,60,40,19,31,28,44
punches,15,20,21,12,24,6,11,20,18,13,28,23,14,14,19,5,19,24,23,15
