,Manchester City,Chelsea,Liverpool,Tottenham Hotspur,Manchester United,Leicester City,Everton,Crystal Palace,Southampton,Wolverhampton Wanderers,Arsenal,Fulham,AFC Bournemouth,Newcastle United,West Ham United,Watford,Cardiff City,Huddersfield Town,Brighton and Hove Albion,Burnley
total_scoring_att,683,607,575,537,526,515,498,493,483,477,467,454,446,446,441,437,417,400,371,360
wins,32,21,30,23,19,15,15,14,9,16,21,7,13,12,15,14,10,3,9,11
losses,4,8,1,13,10,16,14,17,17,13,10,26,19,17,16,16,24,28,20,20
touches,"33,593","32,358","30,897","28,688","26,476","25,054","24,496","23,211","22,109","23,969","28,126","25,208","23,367","21,317","24,044","22,878","17,503","23,238","21,447","20,291"
own_goals,,,,3,3,,2,1,3,4,2,2,3,1,2,3,,1,,4
total_yel_card,44,49,38,56,73,57,55,58,71,72,72,68,60,57,59,77,66,55,60,75
total_red_card,1,,2,3,4,5,4,2,3,1,2,2,1,2,1,4,1,4,4,1
goals,95,63,89,67,65,51,54,51,45,47,73,34,56,42,52,52,34,22,35,45
total_pass,"26,581","25,070","23,638","21,295","19,202","17,219","16,494","15,243","14,297","16,618","20,805","17,699","15,943","13,490","16,358","15,462","10,226","15,902","14,109","13,011"
total_offside,98,83,77,74,90,72,69,78,61,73,89,90,57,59,72,89,77,63,90,106
hit_woodwork,21,21,19,13,9,10,16,16,13,14,9,13,12,14,13,9,14,11,6,12
big_chance_missed,71,61,54,52,61,46,50,38,50,48,50,45,57,32,33,54,32,24,23,41
total_tackle,518,618,610,626,581,676,700,730,699,720,609,591,526,714,723,655,655,710,681,583
total_clearance,543,593,639,770,785,945,825,940,"1,068",824,762,971,"1,019","1,120",855,956,978,658,921,"1,080"
clearance_off_line,2,3,1,4,2,1,1,2,4,3,3,1,4,6,2,3,5,5,7,12
dispossessed,393,458,424,351,424,357,466,472,378,401,409,483,355,402,390,419,332,399,335,315
clean_sheet,20,16,21,13,7,10,14,12,7,9,8,5,10,11,7,7,10,5,7,8
saves,58,85,76,121,122,90,94,113,114,100,133,147,110,95,148,127,141,114,111,140
penalty_save,,1,,2,,,3,1,1,,,1,,,1,1,3,1,,1
total_high_claim,20,16,17,16,10,13,14,28,20,16,16,9,29,45,29,32,15,30,21,15
punches,6,11,17,23,13,16,14,26,20,8,19,30,8,15,17,11,11,21,9,11
