team,total_shots,total_on_target,shot_acc
Arsenal,462,274,59.307359307359306
Aston Villa,378,197,52.116402116402114
Birmingham,354,168,47.45762711864407
Blackburn,384,183,47.65625
Bolton,402,198,49.25373134328358
Charlton,371,183,49.32614555256065
Chelsea,514,277,53.89105058365759
Everton,378,206,54.4973544973545
Fulham,358,178,49.72067039106145
Liverpool,563,283,50.26642984014209
Man City,430,212,49.30232558139535
Man United,555,286,51.53153153153153
Middlesbrough,396,219,55.3030303030303
Newcastle,370,208,56.21621621621622
Portsmouth,411,222,54.01459854014598
Sunderland,337,183,54.3026706231454
Tottenham,411,234,56.934306569343065
West Brom,332,163,49.096385542168676
West Ham,354,173,48.87005649717514
Wigan,433,207,47.80600461893764
