Team,punches,total_high_claim,penalty_save,saves,clean_sheet,dispossessed,clearance_off_line,total_clearance,total_tackle,big_chance_missed,hit_woodwork,total_offside,total_scoring_att,total_pass,goals,total_red_card,total_yel_card,own_goals,touches,losses,wins
Manchester City,43,45,2,4,11,559,7,1852,916,,5,103,423,15149,45,4,50,2,23416,13,15
Middlesbrough,38,68,,4,8,575,2,2139,835,,13,126,499,12217,43,2,86,5,21067,16,10
Portsmouth,28,77,2,4,16,683,4,2103,963,,9,95,559,12794,48,3,55,3,21907,13,16
Reading,28,61,2,10,8,532,6,1783,800,,10,60,441,10442,41,5,59,2,19144,22,10
Blackburn Rovers,27,59,2,3,8,532,5,2065,833,,14,95,530,13654,50,6,72,1,22601,10,15
Fulham,27,55,,2,7,589,4,2072,851,,7,91,469,12583,38,6,55,2,21260,18,8
Arsenal,26,45,1,,15,776,2,1840,878,,13,110,627,18831,74,3,55,2,28156,3,24
Sunderland,25,40,,,7,586,5,2051,892,,7,75,483,12736,36,4,65,3,21421,21,11
Derby County,24,68,,10,3,464,5,2042,898,,7,103,376,11753,20,1,63,2,20143,29,1
Manchester United,23,47,,2,21,627,10,2022,978,,16,100,696,17422,80,2,51,,26620,5,27
Liverpool,22,42,1,,18,613,4,1952,1089,,13,93,686,16360,67,1,45,2,25857,4,21
Tottenham Hotspur,21,46,,,9,612,6,2043,960,,19,123,555,15466,66,1,51,1,24679,14,11
Bolton Wanderers,20,47,,,12,545,6,2166,866,,14,111,451,11854,36,,76,4,20846,19,9
Everton,20,55,,,14,620,8,2136,816,,4,73,474,12397,55,3,40,1,21360,11,19
Newcastle United,20,35,,,8,717,8,1823,876,,10,102,481,13947,45,1,63,1,22761,17,11
Chelsea,19,62,,4,21,687,8,1687,917,,12,128,605,17252,65,5,63,,26290,3,25
West Ham United,19,77,3,1,8,511,8,1952,848,,15,117,500,13773,42,1,63,1,22347,15,13
Aston Villa,14,40,2,3,9,655,6,2220,885,,11,115,511,11438,71,4,54,3,20734,10,16
Wigan Athletic,14,68,1,5,12,510,7,1837,883,,11,137,489,11684,34,4,59,1,19855,18,10
Birmingham City,11,77,,,3,551,6,2145,935,,6,78,414,10630,46,3,70,1,19541,19,8
