Team,total_scoring_att,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Liverpool,739,16,9,27737,1,54,2,71,19812,110,19,61,795,914,3,529,16,2,1,38,23
Tottenham Hotspur,681,21,8,25155,1,55,2,66,16647,77,17,41,745,1595,6,466,9,,,44,30
Manchester City,660,23,6,27525,2,62,3,66,20061,75,16,86,683,1068,6,515,18,1,1,28,23
Everton,633,16,7,23854,2,59,3,55,15829,100,21,67,720,1172,8,449,11,4,,61,28
Chelsea,626,22,7,25971,2,51,3,75,18432,80,7,45,710,981,1,434,14,7,,53,29
Arsenal,597,21,7,28862,,42,5,72,21110,80,16,50,748,873,5,411,14,,1,31,20
Manchester United,561,28,5,27264,4,57,1,86,19696,96,24,65,731,1319,5,506,13,1,,38,28
Newcastle United,533,11,19,23008,1,71,4,45,14600,84,12,44,732,1584,5,506,6,3,,74,38
Southampton,516,9,15,25365,5,43,2,49,16810,86,16,41,819,1275,3,477,7,,3,56,16
West Bromwich Albion,506,14,17,21491,3,63,4,53,14367,100,15,39,698,1079,3,455,8,2,1,77,15
Swansea City,504,11,14,27641,1,58,2,47,19943,87,11,42,686,1353,10,361,10,,1,51,25
Queens Park Rangers,500,4,21,21941,5,59,3,30,13632,108,9,32,818,1363,8,453,7,,,56,37
Wigan Athletic,500,9,20,25173,3,66,2,47,17927,83,7,36,716,901,5,418,5,,1,41,28
West Ham United,492,12,16,20677,1,74,1,45,12593,82,9,38,728,1520,4,493,11,11,,36,6
Fulham,460,11,17,24744,,48,3,50,16940,74,19,34,680,1274,7,446,8,,3,67,24
Aston Villa,438,10,17,22319,5,72,3,47,14252,97,10,33,741,1520,9,505,5,5,1,101,25
Sunderland,417,9,17,20782,4,62,3,41,13109,68,7,30,784,1155,8,423,11,,,52,39
Norwich City,413,10,14,20686,3,60,1,41,13430,97,7,40,676,1146,5,387,10,4,2,46,19
Reading,394,6,22,19613,,45,1,43,11806,80,9,25,602,1300,12,442,5,,,47,37
Stoke City,390,9,14,19836,4,78,4,34,12297,72,12,35,728,1161,3,397,12,9,,91,6
